LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	6	0	n	0.1	9	9	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	7	0	n	0.1	10	10	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	8	0	n	0.1	14	14	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	9	0	n	0.1	8	8	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	10	0	n	0.1	15	15	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	11	0	n	0.1	8	8	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	12	0	n	0.1	17	17	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	13	0	n	0.1	11	11	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	14	0	n	0.1	19	19	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	15	0	n	0.1	6	6	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	16	0	n	0.1	8	8	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	17	0	n	0.1	6	6	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	18	0	n	0.1	8	8	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	19	0	n	0.1	9	9	Lutjanussp.
4	5	a	4TL	large	26	-18.172881	178.520283	e	231.3554119	544.7727502	4	20	0	n	0.1	17	17	Lutjanussp.
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	1	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	2	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	3	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	4	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	5	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	6	0	n	0	0	0	nogroup
3	6	b	3NTL	control	na	-18.173185	178.519753	na	174.0699831	548.0597092	7	7	0	n	0	0	0	nogroup
